x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.6581,wesp,142.3013,40.0000,80.0000,300.0000,20.0000,0.0000
0.6630,wesp,142.2735,40.0000,80.0000,300.0000,20.0000,0.0000
0.6679,wesp,142.2458,40.0000,80.0000,300.0000,20.0000,0.0000
0.6727,wesp,142.2180,40.0000,80.0000,300.0000,20.0000,0.0000
0.6776,wesp,142.1903,40.0000,80.0000,300.0000,20.0000,0.0000
0.6825,wesp,142.1626,40.0000,80.0000,300.0000,20.0000,0.0000
0.6874,wesp,142.1349,40.0000,80.0000,300.0000,20.0000,0.0000
0.6923,wesp,142.1071,40.0000,80.0000,300.0000,20.0000,0.0000
0.6971,wesp,142.0794,40.0000,80.0000,300.0000,20.0000,0.0000
0.7020,wesp,142.0517,40.0000,80.0000,300.0000,20.0000,0.0000
0.7069,wesp,142.0240,40.0000,80.0000,300.0000,20.0000,0.0000
0.7117,wesp,141.9963,40.0000,80.0000,300.0000,20.0000,0.0000
0.7166,wesp,141.9687,40.0000,80.0000,300.0000,20.0000,0.0000
0.7215,wesp,141.9410,40.0000,80.0000,300.0000,20.0000,0.0000
0.7264,wesp,141.9133,40.0000,80.0000,300.0000,20.0000,0.0000
0.7312,wesp,141.8856,40.0000,80.0000,300.0000,20.0000,0.0000
0.7361,wesp,141.8580,40.0000,80.0000,300.0000,20.0000,0.0000
0.7410,wesp,141.8303,40.0000,80.0000,300.0000,20.0000,0.0000
0.7459,wesp,141.8026,40.0000,80.0000,300.0000,20.0000,0.0000
0.7508,wesp,141.7750,40.0000,80.0000,300.0000,20.0000,0.0000
0.7556,wesp,141.7474,40.0000,80.0000,300.0000,20.0000,0.0000
0.7605,wesp,141.7197,40.0000,80.0000,300.0000,20.0000,0.0000
0.7654,wesp,141.6921,40.0000,80.0000,300.0000,20.0000,0.0000
0.7702,wesp,141.6645,40.0000,80.0000,300.0000,20.0000,0.0000
0.7751,wesp,141.6368,40.0000,80.0000,300.0000,20.0000,0.0000
0.7800,wesp,141.6092,40.0000,80.0000,300.0000,20.0000,0.0000
0.7849,wesp,141.5816,40.0000,80.0000,300.0000,20.0000,0.0000
0.7897,wesp,141.5540,40.0000,80.0000,300.0000,20.0000,0.0000
0.7946,wesp,141.5264,40.0000,80.0000,300.0000,20.0000,0.0000
0.7995,wesp,141.4988,40.0000,80.0000,300.0000,20.0000,0.0000
0.8044,wesp,141.4712,40.0000,80.0000,300.0000,20.0000,0.0000
0.8093,wesp,141.4436,40.0000,80.0000,300.0000,20.0000,0.0000
0.8141,wesp,141.4161,40.0000,80.0000,300.0000,20.0000,0.0000
0.8190,wesp,141.3885,40.0000,80.0000,300.0000,20.0000,0.0000
0.8239,wesp,141.3609,40.0000,80.0000,300.0000,20.0000,0.0000
0.8287,wesp,141.3334,40.0000,80.0000,300.0000,20.0000,0.0000
0.8336,wesp,141.3058,40.0000,80.0000,300.0000,20.0000,0.0000
0.8385,wesp,141.2782,40.0000,80.0000,300.0000,20.0000,0.0000
0.8434,wesp,141.2507,40.0000,80.0000,300.0000,20.0000,0.0000
0.8482,wesp,141.2232,40.0000,80.0000,300.0000,20.0000,0.0000
0.8531,wesp,141.1956,40.0000,80.0000,300.0000,20.0000,0.0000
0.8580,wesp,141.1681,40.0000,80.0000,300.0000,20.0000,0.0000
0.8629,wesp,141.1406,40.0000,80.0000,300.0000,20.0000,0.0000
0.8678,wesp,141.1130,40.0000,80.0000,300.0000,20.0000,0.0000
0.8726,wesp,141.0855,40.0000,80.0000,300.0000,20.0000,0.0000
0.8775,wesp,141.0580,40.0000,80.0000,300.0000,20.0000,0.0000
0.8824,wesp,141.0305,40.0000,80.0000,300.0000,20.0000,0.0000
0.8872,wesp,141.0030,40.0000,80.0000,300.0000,20.0000,0.0000
0.8921,wesp,140.9755,40.0000,80.0000,300.0000,20.0000,0.0000
0.8970,wesp,140.9480,40.0000,80.0000,300.0000,20.0000,0.0000
0.9019,wesp,140.9206,40.0000,80.0000,300.0000,20.0000,0.0000
0.9067,wesp,140.8931,40.0000,80.0000,300.0000,20.0000,0.0000
0.9116,wesp,140.8656,40.0000,80.0000,300.0000,20.0000,0.0000
0.9165,wesp,140.8381,40.0000,80.0000,300.0000,20.0000,0.0000
0.9214,wesp,140.8107,40.0000,80.0000,300.0000,20.0000,0.0000
0.9263,wesp,140.7832,40.0000,80.0000,300.0000,20.0000,0.0000
0.9311,wesp,140.7558,40.0000,80.0000,300.0000,20.0000,0.0000
0.9360,wesp,140.7283,40.0000,80.0000,300.0000,20.0000,0.0000
0.9409,wesp,140.7009,40.0000,80.0000,300.0000,20.0000,0.0000
0.9457,wesp,140.6735,40.0000,80.0000,300.0000,20.0000,0.0000
0.9506,wesp,140.6460,40.0000,80.0000,300.0000,20.0000,0.0000
0.9555,wesp,140.6186,40.0000,80.0000,300.0000,20.0000,0.0000
0.9604,wesp,140.5912,40.0000,80.0000,300.0000,20.0000,0.0000
0.9653,wesp,140.5638,40.0000,80.0000,300.0000,20.0000,0.0000
0.9701,wesp,140.5364,40.0000,80.0000,300.0000,20.0000,0.0000
0.9750,wesp,140.5090,40.0000,80.0000,300.0000,20.0000,0.0000
0.9799,wesp,140.4816,40.0000,80.0000,300.0000,20.0000,0.0000
