x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
1.1310,wesp,13.1203,40.0000,67.0230,300.0000,20.0000,0.0000
1.1359,wesp,12.9465,40.0000,66.9571,300.0000,20.0000,0.0000
1.1407,wesp,12.7750,40.0000,66.8913,300.0000,20.0000,0.0000
1.1456,wesp,12.6058,40.0000,66.8256,300.0000,20.0000,0.0000
1.1505,plasma,12.4389,40.0000,66.7599,300.0000,20.0000,0.0000
1.1554,plasma,12.4389,39.5995,67.1604,298.9693,33.2862,214.0218
1.1603,plasma,12.4389,39.2024,67.5575,297.9421,46.5718,214.0222
1.1651,plasma,12.4389,38.8086,67.9513,296.9184,59.8568,214.0227
1.1700,plasma,12.4389,38.4181,68.3418,295.8982,73.1412,214.0231
1.1749,plasma,12.4389,38.0310,68.7289,294.8816,86.4250,214.0235
1.1798,plasma,12.4389,37.6471,69.1128,293.8684,99.7082,214.0239
1.1846,plasma,12.4389,37.2665,69.4933,292.8588,112.9908,214.0244
1.1895,plasma,12.4389,36.8892,69.8707,291.8526,126.2729,214.0248
1.1944,plasma,12.4389,36.5151,70.2448,290.8498,139.5544,214.0252
1.1992,plasma,12.4389,36.1442,70.6157,289.8505,152.8354,214.0256
1.2041,plasma,12.4389,35.7765,70.9834,288.8546,166.1159,214.0261
1.2090,plasma,12.4389,35.4119,71.3480,287.8622,179.3959,214.0265
1.2139,plasma,12.4389,35.0505,71.7094,286.8731,192.6753,214.0269
1.2188,plasma,12.4389,34.6922,72.0677,285.8875,205.9543,214.0273
1.2236,plasma,12.4389,34.3370,72.4229,284.9052,219.2328,214.0277
1.2285,plasma,12.4389,33.9849,72.7750,283.9264,232.5108,214.0281
1.2334,plasma,12.4389,33.6359,73.1240,282.9509,245.7884,214.0285
1.2383,plasma,12.4389,33.2899,73.4700,281.9787,259.0656,214.0289
1.2431,plasma,12.4389,32.9469,73.8130,281.0099,272.3423,214.0293
1.2480,plasma,12.4389,32.6069,74.1530,280.0444,285.6185,214.0297
1.2529,plasma,12.4389,32.2700,74.4899,279.0822,298.8944,214.0301
1.2577,plasma,12.4389,31.9359,74.8240,278.1233,312.1698,214.0305
1.2626,plasma,12.4389,31.6048,75.1550,277.1677,325.4449,214.0309
1.2675,plasma,12.4389,31.2767,75.4832,276.2154,338.7195,214.0313
1.2724,plasma,12.4389,30.9514,75.8085,275.2664,351.9938,214.0317
1.2772,plasma,12.4389,30.6291,76.1308,274.3207,365.2677,214.0321
1.2821,plasma,12.4389,30.3096,76.4503,273.3782,378.5413,214.0325
1.2870,plasma,12.4389,29.9929,76.7670,272.4389,391.8145,214.0329
1.2919,plasma,12.4389,29.6791,77.0808,271.5028,405.0874,214.0333
1.2968,plasma,12.4389,29.3680,77.3919,270.5700,418.3599,214.0337
1.3016,plasma,12.4389,29.0598,77.7001,269.6404,431.6321,214.0340
1.3065,plasma,12.4389,28.7543,78.0056,268.7139,444.9040,214.0344
1.3114,plasma,12.4389,28.4516,78.3083,267.7907,458.1756,214.0348
1.3162,plasma,12.4389,28.1516,78.6083,266.8706,471.4469,214.0352
